Title,RecordID,HasImage,ImageFile,MatchMethod,Confidence
"Aristide Chapurot",recLD4wXz37F9GRv5,True,ulxnrBc5NKMqveG1UkNQHAilKGZGR27W5e5Ml0hSGHk.png,positional_by_download_time,high
"Stol",rec3NqhalGNSi1YtF,True,o5PM0QSlrZGSpZJJkpcy50yMEnWMqrqS-Qdm5x2RSa4.png,positional_by_download_time,high
"Speil",recKwgfY2heWU07Xh,True,HcNUIy9byOsDa4XDGxmgCOvW6NHTO3MM7WCVJuFQxOM.png,positional_by_download_time,high
"Speil",recxwZZrFXv4bUNcm,True,AiU5_-L7kapwkND7NhLfem7ijLjKhiCWVq1VWRsky7A.png,positional_by_download_time,high
"Speil",recAM4lPzn8Lg2nrc,True,8Rw5BMPE8Rq-Zz21QejP5t7eYRziaIcv-FAGQT7SGQc.png,positional_by_download_time,high
"Speil",rec6Gwn2LXwMFnZz5,True,AkQGAyqiWohDjeVta5jkis18pWYVdbJlyRDF7FfX3zE.png,positional_by_download_time,high
"Domenico Gavarrone",rec40uTABjI93TLlP,True,BNjBd2OVJDR-PJKbD1PXeVTAuc-uBlNTlrmvwbfLxdo.png,positional_by_download_time,high
"Speil",recAxIhgTQxVUmzFP,True,QrUH3wKJGJlUByRTGGSylA_R4FVgI350gFFNdeXYhe8.png,positional_by_download_time,high
"Stoler",recXyIYbRe3VXmHUO,True,g-ZwtLPGhJ2hZcnWByDWrKRGNLuI7XvuZ0SBvl1iS_4.png,positional_by_download_time,high
"Armstoler",rec2FFvGLmGANWlsE,True,vhVOzWlB0giO6Pv6DWwWEFuiW2E1r6eFXZ8ekVOMFgc.png,positional_by_download_time,high
"Stoler",recGXkzd4QdV8SwNF,True,yjRwzeuP2G3ef-c0wkfDvr9IWwgLzmFe_3f3cswZhGo.png,positional_by_download_time,high
"Stoler",reckU6hG2QxFixEZ2,True,xmwHgdVJFgRRBCJvdGOC1XjPQDDV_m3m4Cr7b8zvkYg.png,positional_by_download_time,high
"Stoler",recDcPVYHNECMaUda,True,kmCqEv_a_ez8_7-w9DJ98VVtefkDJo7ReGq-mezUIlM.png,positional_by_download_time,high
"Stoler",rec5eBDavXHvd0XFa,True,oG_7-m5WGAaDhNABpSD0c6AS2-wyc1KkiP2MBsMRYEM.png,positional_by_download_time,high
"Speil",recPWdWMpjkkS1NMh,True,PAIblJUECBYJIIVZHOIw8oC4ikoIGLDroRSb5WAkeCk.png,positional_by_download_time,high
"Piketitter",recv2eHwOlsu90cWu,True,_lPmR4nRPNfSiAgB_dJ6X07Cd8IuPdTGjDqpj7ejq28.png,positional_by_download_time,high
